ref_time=142731 µs blas_time=4961 µs n_weights=6291456 total_mem=55050240
bob,density,q_nz,k_nz,v_nz,mem_k,mem_q,mem_v,attn_time,gen_time,attn_dry
bob,0.0001,629,629,5,60824,62232,456,66,859,40
bob,0.0002,1118,1118,4,109400,110632,368,111,1443,76
bob,0.0003,1989,1989,8,187192,189128,720,208,2665,147
bob,0.0006,3537,3537,19,333448,331160,1688,421,4739,306
bob,0.0010,6291,6291,64,600000,595160,6088,858,8210,608
bob,0.0018,11187,11187,243,1027152,1031288,26680,1789,14643,1247
bob,0.0032,19895,19895,781,1720504,1723232,76752,3807,26245,2597
bob,0.0056,35379,35379,2313,3064440,3056520,216408,7988,47952,5286
bob,0.0100,62914,62914,7501,5805728,5814000,668816,15909,87880,10244
bob,0.0178,111879,111879,23604,10351368,10390968,2139560,44031,157610,31459
bob,0.0316,198953,198953,73303,16251240,16239624,4552168,97169,297675,69463
bob,0.0562,353794,353794,216379,23261672,23257536,6649736,195958,535013,131427
