bob,density,q_nz,k_nz,v_nz,mem_k,mem_q,mem_v,attn_time,gen_time
bob,0.720,4718592,4718592,2560000,40216544,40216808,16437096,8791640,6884548
bob,0.730,4784128,4784128,2560000,40216808,40216720,16437096,8951485,6992362
bob,0.740,4849664,4849664,2560000,40216808,40216632,16437096,9140056,7105707
bob,0.750,4915200,4915200,2560000,40216808,40216808,16437096,9402474,7220487
bob,0.760,4980736,4980736,2560000,40216808,40216808,16437096,9613285,7365258
bob,0.770,5046272,5046272,2560000,40216720,40216632,16437096,9758427,7408814
bob,0.780,5111808,5111808,2560000,40216720,40216808,16437096,9958373,7551989
bob,0.790,5177344,5177344,2560000,40216808,40216720,16437096,10151786,7606741
bob,0.800,5242880,5242880,2560000,40216808,40216808,16437096,10353119,7717551
bob,0.810,5308416,5308416,2560000,40216808,40216808,16437096,10561085,7818747
bob,0.820,5373952,5373952,2560000,40216808,40216808,16437096,10755116,7942180
bob,0.830,5439488,5439488,2560000,40216808,40216808,16437096,10947477,8053823
bob,0.840,5505024,5505024,2560000,40216808,40216808,16437096,11155856,8185345
bob,0.850,5570560,5570560,2560000,40216808,40216808,16437096,11344968,8285409
bob,0.860,5636096,5636096,2560000,40216808,40216808,16437096,11530483,8391621
bob,0.870,5701632,5701632,2560000,40216808,40216808,16437096,11700357,8489519
bob,0.880,5767168,5767168,2560000,40216808,40216808,16437096,11913274,8521349
bob,0.890,5832704,5832704,2560000,40216808,40216808,16437096,12091490,8679986
