ref_time=257030 µs blas_time=6988 µs n_weights=8388608 total_mem=75497472
bob,density,q_nz,k_nz,v_nz,mem_k,mem_q,mem_v,attn_time,gen_time,attn_dry
bob,0.0001,838,838,2,81504,83792,192,85,1111,56
bob,0.0002,1491,1491,2,143192,141872,192,151,1851,111
bob,0.0003,2652,2652,17,240960,242192,1512,316,3416,224
bob,0.0006,4717,4717,46,445560,442216,4416,652,6023,455
bob,0.0010,8388,8388,117,818064,813400,12688,1294,10640,872
bob,0.0018,14917,14917,387,1356008,1352928,39440,2732,18803,1896
bob,0.0032,26527,26527,1312,2239176,2240408,131224,6151,34187,4186
bob,0.0056,47172,47172,4276,4025752,4024608,387744,13555,61987,9135
bob,0.0100,83886,83886,13381,7683384,7673352,1153960,30897,114129,21161
bob,0.0178,149172,149172,42155,13794984,13758552,3772840,74214,213727,53033
bob,0.0316,265271,265271,130196,21556496,21540920,8037320,161262,411552,113672
bob,0.0562,471726,471726,385213,30972232,30980856,11779432,331050,725967,216651
bob,0.1000,838860,838860,994860,40684440,40680128,12311304,685938,1591847,434519
bob,0.1778,1491728,1491728,1829564,47199256,47209288,12311656,1222346,2792733,755026
bob,0.3162,2652710,2652710,2094701,49123816,49129008,12311656,2149019,5844318,1339821
bob,0.5623,4717260,4717260,2097153,49231968,49232144,12311656,4664980,7474460,2917817
bob,1.0000,8388608,8388608,2097153,49232232,49232232,12311656,11020754,13317209,6078070
