ref_time=150467 µs blas_time=20099 µs n_weights=6291456 total_mem=59768832
bob,density,q_nz,k_nz,v_nz,mem_k,mem_q,mem_v,attn_time,gen_time,attn_dry
bob,0.0001,629,629,0,61352,60472,104,50,853,33
bob,0.0002,1118,1118,3,99632,101656,280,100,1352,73
bob,0.0003,1989,1989,7,171176,172408,808,215,2448,164
bob,0.0006,3537,3537,20,311184,311536,1952,490,4329,343
bob,0.0010,6291,6291,63,581080,579848,6440,874,7901,652
bob,0.0018,11187,11187,234,1006384,1013952,24568,1769,13939,1287
bob,0.0032,19895,19895,779,1702200,1702464,68568,3709,24556,2658
bob,0.0056,35379,35379,2303,3043144,3039360,206992,7874,44510,5460
bob,0.0100,62914,62914,7515,5778888,5791472,660368,17906,81434,12027
bob,0.0178,111879,111879,23617,10353568,10338080,2165432,46280,151115,32926
bob,0.0316,198953,198953,74636,16204952,16205480,5971960,100203,293388,69266
bob,0.0562,353794,353794,228091,23230520,23257800,11097784,207270,510584,133455
bob,0.1000,629145,629145,649342,30536104,30516304,13771664,424316,1041195,260428
bob,0.1778,1118796,1118796,1516043,35460320,35463136,13885800,768154,2161950,457583
bob,0.3162,1989533,1989533,2278266,36880200,36882312,13885800,1355115,4040696,798834
bob,0.5623,3537945,3537945,2359290,36959928,36959928,13885800,2720411,5208834,1671141
bob,1.0000,6291456,6291456,2359297,36960104,36960104,13885800,6234552,9327862,3404461
