ref_time=403082 µs blas_time=71937 µs n_weights=10485760 total_mem=96993280
bob,density,q_nz,k_nz,v_nz,mem_k,mem_q,mem_v,attn_time,gen_time,attn_dry
bob,0.0001,1048,1048,2,98312,97344,192,147,1337,104
bob,0.0002,1864,1864,9,171440,169152,808,305,2307,213
bob,0.0003,3315,3315,23,297104,298248,2216,625,4229,437
bob,0.0006,5896,5896,68,551864,547992,7144,1202,7545,832
bob,0.0010,10485,10485,205,1012896,1007880,22544,2297,13442,1588
bob,0.0018,18646,18646,631,1710120,1721208,58624,4617,23718,3259
bob,0.0032,33158,33158,2095,2845672,2857904,198192,10025,43416,6949
bob,0.0056,58965,58965,6510,5045496,5075416,594280,21685,79329,15027
bob,0.0100,104857,104857,21075,9658896,9679048,1863680,51581,143441,36134
bob,0.0178,186466,186466,65596,17273536,17280400,5911856,114948,280097,81121
bob,0.0316,331588,331588,203446,27019712,27040304,12623352,247047,545678,171964
bob,0.0562,589657,589657,601202,38735768,38746944,18445608,505262,949844,328070
bob,0.1000,1048575,1048575,1553918,50873696,50883024,19277560,1076446,2141686,683625
bob,0.1778,1864661,1864661,2857133,59102664,59095184,19278440,1888211,3640437,1151820
bob,0.3162,3315888,3315888,3272950,61466608,61471624,19278440,3352297,7516425,2068950
bob,0.5623,5896575,5896575,3276801,61600016,61600016,19278440,7276583,9777400,4548435
bob,1.0000,10485760,10485760,3276801,61600104,61600104,19278440,17245671,17183578,9529541
